DATE,HSN1FNSA
2004-01-01,89
2004-02-01,102
2004-03-01,123
2004-04-01,109
2004-05-01,115
2004-06-01,105
2004-07-01,96
2004-08-01,102
2004-09-01,94
2004-10-01,101
2004-11-01,84
2004-12-01,83
2005-01-01,92
2005-02-01,109
2005-03-01,127
2005-04-01,116
2005-05-01,120
2005-06-01,115
2005-07-01,117
2005-08-01,110
2005-09-01,99
2005-10-01,105
2005-11-01,86
2005-12-01,87
2006-01-01,89
2006-02-01,88
2006-03-01,108
2006-04-01,100
2006-05-01,102
2006-06-01,98
2006-07-01,83
2006-08-01,88
2006-09-01,80
2006-10-01,74
2006-11-01,71
2006-12-01,71
2007-01-01,66
2007-02-01,68
2007-03-01,80
2007-04-01,83
2007-05-01,79
2007-06-01,73
2007-07-01,68
2007-08-01,60
2007-09-01,53
2007-10-01,57
2007-11-01,45
2007-12-01,44
2008-01-01,44
2008-02-01,48
2008-03-01,49
2008-04-01,49
2008-05-01,49
2008-06-01,45
2008-07-01,43
2008-08-01,38
2008-09-01,35
2008-10-01,32
2008-11-01,27
2008-12-01,26
2009-01-01,24
2009-02-01,29
2009-03-01,31
2009-04-01,32
2009-05-01,34
2009-06-01,37
2009-07-01,38
2009-08-01,36
2009-09-01,30
2009-10-01,33
2009-11-01,26
2009-12-01,24
2010-01-01,24
2010-02-01,27
2010-03-01,36
2010-04-01,41
2010-05-01,26
2010-06-01,28
2010-07-01,26
2010-08-01,23
2010-09-01,25
2010-10-01,23
2010-11-01,20
2010-12-01,23
2011-01-01,21
2011-02-01,22
2011-03-01,28
2011-04-01,30
2011-05-01,28
2011-06-01,28
2011-07-01,27
2011-08-01,25
2011-09-01,24
2011-10-01,25
2011-11-01,23
2011-12-01,24
2012-01-01,23
2012-02-01,30
2012-03-01,34
2012-04-01,34
2012-05-01,35
2012-06-01,34
2012-07-01,33
2012-08-01,31
2012-09-01,30
